overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,P2O5 wt %,predicted_phases,salt_cation_loading,wf_volume_per_100g_salt,melting_temperature_value,cohesive_energy_value,bulk_modulus_value,has_no_salt_cations,has_no_phophates,has_unreacted_element,has_unreacted_waste_salt,has_binary_alkali_compounds,total_filter_score
Na0.6O2.75Fe1.05P0.35,30.0,52.5,17.5,14.609602352598197,65.87265003338901,19.51774761401278,0.73*Fe2O3 + 0.15*Na3Fe(PO4)2 + 0.12*Na4P2O7,10.838242640558624,93.65682916734342,2111.198419615391,4.8713612303328055,127.43149491058645,False,False,False,False,True,-1
Na0.6O2.7Fe1.1P0.3,30.0,55.00000000000001,15.0,14.558858441562469,68.76975060302128,16.671390955416246,0.79*Fe2O3 + 0.21*Na4P2O7,10.800597891094368,94.81352744739269,2098.696182142863,4.840412521777431,124.58612831352794,False,False,False,False,True,-1
Na0.6O2.65Fe1.15P0.25,30.0,57.49999999999999,12.5,14.508465810702653,71.6467956827049,13.844738506592444,0.77*Fe2O3 + 0.10*Na4P2O7 + 0.13*Na3PO4,10.7632137414527,93.66622486104114,2100.774165000006,4.837899049840542,125.20599405390675,False,False,False,False,True,-1
Na0.6O2.6Fe1.2P0.2,30.0,60.0,10.0,14.458420824938727,74.50399280852028,11.037586366541003,0.75*Fe2O3 + 0.25*Na3PO4,10.726087494922352,92.5189222746897,2102.592400000006,4.835699761895764,125.7483765767382,False,False,False,False,True,-1
Na0.6O2.55Fe1.25P0.15,30.0,62.5,7.5,14.40871989917312,77.3415466629207,8.24973343790617,0.65*Fe2O3 + 0.18*Na3PO4 + 0.18*NaFeO2,10.68921649187195,89.64274933585611,2119.197007352947,4.875353642875968,130.07341964621892,False,False,False,False,True,-1
Na0.6O2.5Fe1.3P0.1,30.0,65.0,5.0,14.359359497434596,80.15965912361122,5.480981378954185,0.56*Fe2O3 + 0.33*NaFeO2 + 0.11*Na3PO4,10.652598109114763,86.76657639702267,2133.9566583333394,4.910601537080592,133.9179023746462,False,False,False,False,True,-1
Na0.6O2.45Fe1.35P0.05,30.0,67.5,2.5,14.310336132039636,82.95852931142609,2.731134556534274,0.47*Fe2O3 + 0.47*NaFeO2 + 0.05*Na3PO4,10.616229759286758,83.89040345818916,2147.1626618421114,4.9421391266320995,137.3577027106075,False,False,False,False,True,-1
Na0.6O2.4Fe1.4,30.0,70.0,0.0,14.26164636277098,85.73835363722903,0.0,0.60*NaFeO2 + 0.40*Fe2O3,10.580108890237058,81.01423051935559,2159.0480650000063,4.9705229572284555,140.45352301297265,False,True,False,False,False,-1
Na0.65O3.7P1.35,32.5,0.0,67.5,17.37142159904814,0.0,82.62857840095185,0.65*NaPO3 + 0.35*P2O5,12.887118879621093,124.39624986934051,2029.884549500005,4.256337820229532,142.43482843511163,False,False,False,False,True,-1
Na0.65O3.65Fe0.05P1.3,32.5,2.5,65.0,17.305219982105573,3.429749988465549,79.26503002942887,0.68*NaPO3 + 0.26*P2O5 + 0.05*Fe(PO3)3,12.838006715559114,122.65479438371959,2036.9556136842157,4.4432744763217595,143.08189040143745,False,False,False,False,True,-1
