,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %
30,Fe1.5O3.5P0.5,0.0,75.0,25.0,0.0,77.142924553875
31,Fe1.55O3.45P0.45,0.0,77.5,22.5,0.0,79.48724182270858
32,Fe1.6O3.4P0.4,0.0,80.0,20.0,0.0,81.81823869041467
33,Fe1.65O3.35P0.35,0.0,82.5,17.5,0.0,84.1360283650664
34,Fe1.7O3.3P0.3,0.0,85.0,15.0,0.0,86.44072277550984
35,Fe1.75O3.25P0.25,0.0,87.5,12.5,0.0,88.73243258938186
36,Fe1.8O3.2P0.2,0.0,90.0,10.0,0.0,91.0112672308243
37,Fe1.85O3.15P0.15,0.0,92.5,7.5,0.0,93.27733489790032
38,Fe1.9O3.1P0.1,0.0,95.0,5.0,0.0,95.53074257971907
39,Fe1.95O3.05P0.05,0.0,97.5,2.5,0.0,97.77159607327388
40,Fe2O3,0.0,100.0,0.0,0.0,100.0
41,Na0.05O4.9P1.95,2.5,0.0,97.5,1.1071986911478249,0.0
42,Na0.05O4.85Fe0.05P1.9,2.5,2.5,95.0,1.1037002371797564,2.8436741304336466
43,Na0.05O4.8Fe0.1P1.85,2.5,5.0,92.5,1.100223821946947,5.669434353211629
44,Na0.05O4.75Fe0.15P1.8,2.5,7.5,90.0,1.096769237851643,8.477449411545749
45,Na0.05O4.7Fe0.2P1.75,2.5,10.0,87.5,1.0933362798952688,11.26788593593957
46,Na0.05O4.65Fe0.25P1.7,2.5,12.5,85.0,1.0899247456378751,14.040908477149802
47,Na0.05O4.6Fe0.3P1.65,2.5,15.0,82.5,1.086534435158344,16.79667953853252
48,Na0.05O4.55Fe0.35P1.6,2.5,17.5,80.0,1.0831651510153355,19.535359607787537
49,Na0.05O4.5Fe0.4P1.55,2.5,20.0,77.5,1.0798166982089583,22.25710718811404
50,Na0.05O4.45Fe0.45P1.5,2.5,22.5,75.0,1.0764888841431497,24.96207882879001
51,Na0.05O4.4Fe0.5P1.45,2.5,25.0,72.5,1.0731815185887463,27.65042915518807
52,Na0.05O4.35Fe0.55P1.4,2.5,27.500000000000004,70.0,1.0698944136472386,30.322310898239635
53,Na0.05O4.3Fe0.6P1.35,2.5,30.0,67.5,1.0666273837151832,32.97787492335917
54,Na0.05O4.25Fe0.65P1.3,2.5,32.5,65.0,1.0633802454492718,35.61727025884034
55,Na0.05O4.2Fe0.7P1.25,2.5,35.0,62.5,1.06015281773203,38.240644123734775
56,Na0.05O4.15Fe0.75P1.2,2.5,37.5,60.0,1.056944921638143,40.84814195522489
57,Na0.05O4.1Fe0.8P1.15,2.5,40.0,57.49999999999999,1.0537563804013903,43.43990743550116
58,Na0.05O4.05Fe0.85P1.1,2.5,42.5,55.00000000000001,1.0505870193821756,46.016082518154384
59,Na0.05O4Fe0.9P1.05,2.5,45.0,52.5,1.0474366660356411,48.576807454093135
60,Na0.05O3.95Fe0.95P1,2.5,47.5,50.0,1.0443051498803555,51.122220816996176
61,Na0.05O3.9Fe1P0.95,2.5,50.0,47.5,1.0411923024675598,53.65245952830986
62,Na0.05O3.85Fe1.05P0.9,2.5,52.5,45.0,1.0380979573509637,56.1676588817996
63,Na0.05O3.8Fe1.1P0.85,2.5,55.00000000000001,42.5,1.0350219500570772,58.66795256766495
64,Na0.05O3.75Fe1.15P0.8,2.5,57.49999999999999,40.0,1.031964118056068,61.153472696227205
65,Na0.05O3.7Fe1.2P0.75,2.5,60.0,37.5,1.0289243007331372,63.624349821198365
