,CaO,Al2O3,SiO2,Tliq_true,Tliq_pred
170,0.35,0.1,0.55,1587.3348,1592.8740002441377
171,0.3,0.15,0.55,1754.275,1653.2470031738253
172,0.25,0.2,0.55,1816.0250999999998,1780.1519995117155
173,0.2,0.25,0.55,1806.8546000000001,1801.0399999999968
174,0.15,0.3,0.55,1860.5945000000002,1848.419999999997
175,0.05,0.4,0.55,1953.9825,1856.7149999999967
176,0.0,0.45,0.55,1969.2022000000002,2141.8299999999963
177,0.4,0.0,0.6,1729.6143000000002,1724.9599999999969
178,0.3,0.1,0.6,1589.9056,1553.939999999997
179,0.25,0.15,0.6,1761.0088,1621.5475073242158
180,0.2,0.2,0.6,1793.4481,1758.4919995117154
181,0.15,0.25,0.6,1801.3404,1802.445999755856
182,0.0,0.4,0.6,1933.2347,2139.9949999999963
183,0.35,0.0,0.65,1820.1803,1811.4799999999968
184,0.3,0.05,0.65,1607.6122999999998,1618.239999999997
185,0.25,0.1,0.65,1583.0544,1499.366999511716
186,0.2,0.15,0.65,1743.8379,1596.123016357419
187,0.15,0.2,0.65,1734.1635999999999,1773.8709851074186
188,0.1,0.25,0.65,1838.0996999999998,1789.0569995117155
189,0.05,0.3,0.65,1892.1961999999999,1831.9659997558563
190,0.0,0.35,0.65,1906.2714999999998,2108.9699999999966
191,0.3,0.0,0.7,1931.5969999999998,1904.8699999999965
192,0.25,0.05,0.7,1739.3973,1657.4940002441376
193,0.2,0.1,0.7,1588.2903000000001,1623.3719946289034
194,0.15,0.15,0.7,1700.9339,1692.5934960937468
195,0.05,0.25,0.7,1867.4162000000001,1797.7549987792936
196,0.0,0.3,0.7,1888.692,2085.5199999999963
197,0.25,0.0,0.75,2026.4849,1902.2499999999966
198,0.2,0.05,0.75,1833.665,1725.5749999999969
199,0.15,0.1,0.75,1694.9633,1684.0919995117156
200,0.1,0.15,0.75,1629.685,1726.7269982910125
201,0.05,0.2,0.75,1831.8409000000001,1757.1670007324187
202,0.0,0.25,0.75,1877.8278999999998,2066.7449999999967
203,0.2,0.0,0.8,2102.8373,1964.8999999999965
204,0.15,0.05,0.8,1891.8715000000002,1775.2099999999969
205,0.1,0.1,0.8,1766.9903,1693.8699999999967
206,0.05,0.15,0.8,1756.9614000000001,1698.2589990234344
207,0.0,0.2,0.8,1867.5589,2030.5249999999965
208,0.15,0.0,0.85,2151.2867,1952.7199999999966
209,0.05,0.1,0.85,1801.7188999999998,1700.397999267575
210,0.0,0.15,0.85,1849.0445,2016.3249999999964
211,0.1,0.0,0.9,2167.8885999999998,1959.7199999999966
212,0.05,0.05,0.9,1896.6084,1856.399999999997
213,0.0,0.1,0.9,1813.9656,2008.2099999999964
214,0.05,0.0,0.95,2129.42,1954.1399999999965
215,0.0,0.05,0.95,1857.5971,1898.4699999999966
216,0.0,0.0,1.0,1995.9859000000001,1764.1799999999969
